1	21959908	1406
2	20214304	1238
3	18246963	1158
4	22678926	1537
5	25422930	1596
6	20730121	1384
7	29494872	2123
8	21858180	1421
9	22089297	1195
10	24234645	1518
11	19336174	1222
12	26048642	1530
13	28961420	1685
14	27290429	1745
15	21166012	1141
16	23175501	1344
17	17736504	1156
18	34099467	2069
19	24741147	1220
VITVvi_vCabSauv08_v1.1.unplaced.10	1247088	38
VITVvi_vCabSauv08_v1.1.unplaced.100	188230	15
VITVvi_vCabSauv08_v1.1.unplaced.1001	5567	1
VITVvi_vCabSauv08_v1.1.unplaced.1003	10682	1
VITVvi_vCabSauv08_v1.1.unplaced.1004	9170	2
VITVvi_vCabSauv08_v1.1.unplaced.1006	10289	1
VITVvi_vCabSauv08_v1.1.unplaced.101	118273	8
VITVvi_vCabSauv08_v1.1.unplaced.1010	7098	1
VITVvi_vCabSauv08_v1.1.unplaced.1011	3789	1
VITVvi_vCabSauv08_v1.1.unplaced.1012	9619	1
VITVvi_vCabSauv08_v1.1.unplaced.1013	9707	1
VITVvi_vCabSauv08_v1.1.unplaced.1014	13014	2
VITVvi_vCabSauv08_v1.1.unplaced.1017	2087	1
VITVvi_vCabSauv08_v1.1.unplaced.1019	6520	3
VITVvi_vCabSauv08_v1.1.unplaced.102	167006	5
VITVvi_vCabSauv08_v1.1.unplaced.1022	11081	2
VITVvi_vCabSauv08_v1.1.unplaced.1026	496	1
VITVvi_vCabSauv08_v1.1.unplaced.103	157076	17
VITVvi_vCabSauv08_v1.1.unplaced.1030	9098	2
VITVvi_vCabSauv08_v1.1.unplaced.1031	9477	1
VITVvi_vCabSauv08_v1.1.unplaced.1033	12663	2
VITVvi_vCabSauv08_v1.1.unplaced.1035	9944	3
VITVvi_vCabSauv08_v1.1.unplaced.1037	2769	1
VITVvi_vCabSauv08_v1.1.unplaced.1038	11877	3
VITVvi_vCabSauv08_v1.1.unplaced.1039	3136	1
VITVvi_vCabSauv08_v1.1.unplaced.1041	9361	2
VITVvi_vCabSauv08_v1.1.unplaced.1042	7262	1
VITVvi_vCabSauv08_v1.1.unplaced.1043	6046	1
VITVvi_vCabSauv08_v1.1.unplaced.1045	1953	1
VITVvi_vCabSauv08_v1.1.unplaced.1046	7205	1
VITVvi_vCabSauv08_v1.1.unplaced.1048	7555	1
VITVvi_vCabSauv08_v1.1.unplaced.1049	4539	1
VITVvi_vCabSauv08_v1.1.unplaced.1052	8981	1
VITVvi_vCabSauv08_v1.1.unplaced.1056	6796	1
VITVvi_vCabSauv08_v1.1.unplaced.1058	8753	2
VITVvi_vCabSauv08_v1.1.unplaced.106	72594	8
VITVvi_vCabSauv08_v1.1.unplaced.1060	5868	1
VITVvi_vCabSauv08_v1.1.unplaced.1062	7950	2
VITVvi_vCabSauv08_v1.1.unplaced.1067	10867	1
VITVvi_vCabSauv08_v1.1.unplaced.1068	10913	2
VITVvi_vCabSauv08_v1.1.unplaced.107	148562	11
VITVvi_vCabSauv08_v1.1.unplaced.1071	3294	1
VITVvi_vCabSauv08_v1.1.unplaced.1072	9929	1
VITVvi_vCabSauv08_v1.1.unplaced.1075	7814	3
VITVvi_vCabSauv08_v1.1.unplaced.1076	530	1
VITVvi_vCabSauv08_v1.1.unplaced.1079	7018	1
VITVvi_vCabSauv08_v1.1.unplaced.108	40375	1
VITVvi_vCabSauv08_v1.1.unplaced.1088	7072	2
VITVvi_vCabSauv08_v1.1.unplaced.1089	8506	1
VITVvi_vCabSauv08_v1.1.unplaced.109	162450	12
VITVvi_vCabSauv08_v1.1.unplaced.1091	399	1
VITVvi_vCabSauv08_v1.1.unplaced.1096	2934	1
VITVvi_vCabSauv08_v1.1.unplaced.1097	9176	1
VITVvi_vCabSauv08_v1.1.unplaced.1098	7944	1
VITVvi_vCabSauv08_v1.1.unplaced.1099	8812	1
VITVvi_vCabSauv08_v1.1.unplaced.11	1283103	47
VITVvi_vCabSauv08_v1.1.unplaced.110	161857	17
VITVvi_vCabSauv08_v1.1.unplaced.1101	4546	1
VITVvi_vCabSauv08_v1.1.unplaced.1103	9090	1
VITVvi_vCabSauv08_v1.1.unplaced.1104	9610	1
VITVvi_vCabSauv08_v1.1.unplaced.1105	9843	2
VITVvi_vCabSauv08_v1.1.unplaced.1106	4188	1
VITVvi_vCabSauv08_v1.1.unplaced.1107	9808	1
VITVvi_vCabSauv08_v1.1.unplaced.1109	9540	1
VITVvi_vCabSauv08_v1.1.unplaced.111	69338	3
VITVvi_vCabSauv08_v1.1.unplaced.1112	9593	1
VITVvi_vCabSauv08_v1.1.unplaced.1114	8772	1
VITVvi_vCabSauv08_v1.1.unplaced.1115	3160	1
VITVvi_vCabSauv08_v1.1.unplaced.1118	8913	2
VITVvi_vCabSauv08_v1.1.unplaced.1119	6670	2
VITVvi_vCabSauv08_v1.1.unplaced.112	163949	11
VITVvi_vCabSauv08_v1.1.unplaced.1121	4626	3
VITVvi_vCabSauv08_v1.1.unplaced.1124	477	1
VITVvi_vCabSauv08_v1.1.unplaced.1129	1221	1
VITVvi_vCabSauv08_v1.1.unplaced.113	139185	10
VITVvi_vCabSauv08_v1.1.unplaced.1131	8134	1
VITVvi_vCabSauv08_v1.1.unplaced.1132	1441	1
VITVvi_vCabSauv08_v1.1.unplaced.1134	6509	1
VITVvi_vCabSauv08_v1.1.unplaced.1135	3370	1
VITVvi_vCabSauv08_v1.1.unplaced.1137	8612	1
VITVvi_vCabSauv08_v1.1.unplaced.1139	3603	1
VITVvi_vCabSauv08_v1.1.unplaced.114	165784	13
VITVvi_vCabSauv08_v1.1.unplaced.1140	7865	1
